strategy,scenario,avg_total_return,avg_win_rate,avg_max_drawdown,avg_trades,score
ema_scalper,uptrend,0.6225423429969089,0.99,0.00012302800808521307,1.02,622.5423429969089
ema_scalper,downtrend,0.3884282155234684,0.9866666666666667,0.0002426646700988755,1.04,388.4282155234684
ema_scalper,sideways,-0.00010778010590953916,0.3204069264069264,0.02602646535879048,5.68,-0.0041411733949933485
ema_scalper,random_walk,0.0006615028035016915,0.321033189033189,0.025613342830818224,5.62,0.025826492382156573
ema_scalper,vol_spike,0.012700209744776153,0.3908253968253968,0.027514872957485368,3.6,0.46157617243590016
institutional_sd,uptrend,0.6095283537643116,0.7623333333333333,0.007101047415720074,1.66,85.8364010378183
institutional_sd,downtrend,0.3765390606575874,0.7333333333333333,0.007885830061994352,1.74,47.74881752427207
institutional_sd,sideways,0.0056444401612190135,0.4671666666666666,0.022302702710887398,3.14,0.25308323544408795
institutional_sd,random_walk,0.004765680819882897,0.46299999999999997,0.02283723951508195,3.2,0.20868024862355153
institutional_sd,vol_spike,0.0059440936709994965,0.564,0.022971378385146412,2.04,0.2587608619447505
trap_reversal,uptrend,0.0,0.0,0.0,0.0,0.0
trap_reversal,downtrend,0.0,0.0,0.0,0.0,0.0
trap_reversal,sideways,0.0,0.0,0.0,0.0,0.0
trap_reversal,random_walk,0.0,0.0,0.0,0.0,0.0
trap_reversal,vol_spike,0.0030356961566027894,0.43666666666666665,0.010377839646154774,1.0,0.2925171577234366
holy_grail,uptrend,0.6274532774807569,0.9013333333333332,0.00046697094326189956,1.32,627.4532774807568
holy_grail,downtrend,0.38949713399779656,0.8423333333333332,0.0008193620654040212,1.48,389.49713399779654
holy_grail,sideways,-0.0008573029075471502,0.15897549863590382,0.026186419592474714,11.44,-0.03273845454586378
holy_grail,random_walk,-0.001292273188800649,0.15583787237327754,0.026583216289842327,11.64,-0.0486123716073603
holy_grail,vol_spike,0.00988859875944586,0.1328440372321177,0.027847244069201027,9.86,0.35510152225019004
